trial,treatment,timepoint,letter_roots,letter_crown
1,control,3,NA,NA
1,control,7,NA,NA
1,control,14,NA,NA
1,control,21,NA,NA
1,control,28,NA,NA
1,crown,3,a,b
1,crown,7,ab,b
1,crown,14,b,a
1,crown,21,b,a
1,crown,28,b,ab
1,root,3,dc,NA
1,root,7,d,NA
1,root,14,bc,NA
1,root,21,ab,NA
1,root,28,a,NA
2,control,3,NA,NA
2,control,7,NA,NA
2,control,14,NA,NA
2,control,21,NA,NA
2,control,28,NA,NA
2,crown,3,c,c
2,crown,7,b,abc
2,crown,14,b,bc
2,crown,21,a,a
2,crown,28,a,ab
2,root,3,bc,b
2,root,7,c,ab
2,root,14,b,b
2,root,21,a,ab
2,root,28,a,a
3,control,3,NA,NA
3,control,7,NA,NA
3,control,14,NA,NA
3,control,21,NA,NA
3,control,28,NA,NA
3,crown,3,abc,NA
3,crown,7,c,NA
3,crown,14,a,NA
3,crown,21,ab,NA
3,crown,28,bc,NA
3,root,3,c,NA
3,root,7,bc,NA
3,root,14,bc,NA
3,root,21,b,NA
3,root,28,a,NA
4,control,3,NA,NA
4,control,7,NA,NA
4,control,14,NA,NA
4,control,21,NA,NA
4,control,28,NA,NA
4,crown,3,b,NA
4,crown,7,a,NA
4,crown,14,ab,NA
4,crown,21,a,NA
4,crown,28,a,NA
4,root,3,c,c
4,root,7,b,c
4,root,14,a,bc
4,root,21,a,b
4,root,28,a,a
